Episode,Score
1,89
2,74
3,79
4,97
5,95
6,86
7,95
8,97
9,96
10,95
11,97
12,97
13,97
14,97
15,97
16,97
17,97
18,97
19,97
20,97
21,97
22,97
23,96
24,95
25,97
26,97
27,97
28,97
29,96
30,97
31,96
32,95
33,97
34,94
35,97
36,97
37,97
38,96
39,97
40,97
41,97
42,96
43,97
44,97
45,97
46,96
47,97
48,97
49,97
50,97
51,97
52,96
53,97
54,96
55,97
56,96
57,97
58,97
59,97
60,97
61,94
62,97
63,95
64,97
65,97
66,96
67,97
68,97
69,97
70,95
71,97
72,97
73,97
74,97
75,97
76,96
77,96
78,97
79,97
80,95
81,97
82,96
83,96
84,97
85,96
86,97
87,97
88,93
89,97
90,96
91,97
92,97
93,97
94,97
95,97
96,94
97,97
98,97
99,96
100,94
101,97
102,96
103,96
104,96
105,97
106,96
107,97
108,97
109,97
110,97
111,97
112,97
113,97
114,97
115,97
116,97
117,97
118,97
119,97
120,97
121,97
122,96
123,97
124,96
125,97
126,96
127,97
128,97
129,97
130,97
131,96
132,97
133,97
134,97
135,97
136,96
137,97
138,97
139,97
140,96
141,96
142,97
143,97
144,96
145,95
146,97
147,97
148,93
149,95
150,97
151,96
152,97
153,97
154,97
155,97
156,97
157,97
158,96
159,97
160,97
161,97
162,97
163,96
164,97
165,97
166,97
167,97
168,97
169,97
170,96
171,97
172,97
173,97
174,97
175,97
176,97
177,94
178,95
179,94
180,96
181,97
182,97
183,97
184,97
185,97
186,97
187,97
188,97
189,97
190,95
191,97
192,97
193,97
194,97
195,97
196,96
197,95
198,96
199,96
200,96
201,97
202,97
203,97
204,97
205,97
206,97
207,97
208,95
209,97
210,95
211,95
212,97
213,97
214,97
215,97
216,97
217,96
218,95
219,96
220,97
221,97
222,97
223,97
224,97
225,97
226,97
227,96
228,97
229,97
230,97
231,97
232,97
233,97
234,95
235,97
236,97
237,97
238,97
239,97
240,96
241,96
242,97
243,97
244,95
245,97
246,97
247,97
248,95
249,95
250,97
251,97
252,96
253,96
254,97
255,97
256,97
257,97
258,97
259,96
260,95
261,96
262,97
263,97
264,97
265,96
266,96
267,95
268,97
269,97
270,97
271,97
272,97
273,97
274,97
275,96
276,97
277,97
278,97
279,96
280,97
281,97
282,97
283,94
284,97
285,97
286,97
287,97
288,95
289,93
290,97
291,97
292,97
293,97
294,97
295,97
296,97
297,97
298,96
299,96
300,97
301,95
302,97
303,97
304,97
305,97
306,97
307,96
308,97
309,97
310,97
311,97
312,97
313,96
314,96
315,97
316,97
317,97
318,96
319,97
320,97
321,97
322,97
323,95
324,96
325,97
326,97
327,97
328,97
329,97
330,97
331,96
332,96
333,97
334,96
335,95
336,96
337,95
338,97
339,95
340,97
341,96
342,96
343,97
344,97
345,97
346,97
347,97
348,96
349,97
350,97
351,97
352,97
353,97
354,97
355,97
356,97
357,97
358,97
359,96
360,97
361,97
362,95
363,95
364,97
365,96
366,96
367,97
368,95
369,97
370,95
371,97
372,97
373,96
374,97
375,97
376,96
377,97
378,97
379,97
380,97
381,97
382,97
383,97
384,97
385,96
386,95
387,97
388,96
389,97
390,97
391,96
392,97
393,95
394,97
395,97
396,97
397,97
398,97
399,97
400,97
401,97
402,95
403,97
404,97
405,96
406,97
407,97
408,96
409,97
410,97
411,96
412,95
413,97
414,97
415,97
416,97
417,97
418,97
419,96
420,97
421,97
422,96
423,94
424,94
425,96
426,97
427,97
428,97
429,97
430,96
431,97
432,96
433,97
434,97
435,97
436,96
437,97
438,97
439,96
440,97
441,97
442,97
443,97
444,97
445,97
446,97
447,97
448,97
449,97
450,97
451,97
452,97
453,95
454,97
455,97
456,95
457,97
458,97
459,97
460,97
461,97
462,95
463,97
464,97
465,97
466,97
467,97
468,97
469,97
470,97
471,97
472,97
473,97
474,97
475,97
476,97
477,97
478,97
479,96
480,97
481,97
482,97
483,97
484,97
485,97
486,97
487,97
488,97
489,97
490,97
491,97
492,97
493,95
494,97
495,97
496,96
497,97
498,96
499,95
500,97
501,97
502,97
503,95
504,97
505,97
506,95
507,96
508,97
509,97
510,97
511,97
512,97
513,97
514,97
515,97
516,97
517,95
518,97
519,97
520,97
521,97
522,97
523,97
524,97
525,97
526,97
527,96
528,97
529,97
530,97
531,96
532,96
533,97
534,97
535,96
536,97
537,97
538,97
539,97
540,97
541,97
542,94
543,97
544,97
545,96
546,97
547,97
548,97
549,97
550,97
551,96
552,97
553,97
554,96
555,97
556,97
557,96
558,96
559,96
560,95
561,97
562,97
563,95
564,97
565,96
566,97
567,97
568,97
569,97
570,97
571,97
572,95
573,97
574,97
575,96
576,96
577,95
578,97
579,97
580,97
581,97
582,96
583,97
584,96
585,97
586,97
587,97
